Plot 3 2021-06-28T151158668.fcf

,,,,El1.Average,El2.Average,El3.Average
Emissivity,,,,0.30000001192092896,0.30000001192092896,0.30000001192092896
Distance,,,,0.30000001192092896,0.30000001192092896,0.30000001192092896
Reflected temperature,,,,22.9999942779541,22.9999942779541,22.9999942779541
Location X,,,,148,250,351
Location Y,,,,242,244,245
Size X,,,,19,17,17
Size Y,,,,14,14,12
Surface (pixels),,,,199,175,151

Date,Time,Milliseconds,Relative time,El1.Average,El2.Average,El3.Average
28/06/2021,15:12:38,600,40.16,163.199496551974,159.653164149693,159.960446187203
28/06/2021,15:12:38,760,40.32,163.071741842145,159.678957083566,159.811102254501
28/06/2021,15:12:38,920,40.48,163.173012048156,159.59953351702,159.780007368681
28/06/2021,15:12:39,080,40.64,163.296040213887,159.624705200195,159.948028261298
28/06/2021,15:12:39,240,40.8,163.177026259839,159.620928083147,159.888379633821
28/06/2021,15:12:39,400,40.96,163.253610428853,159.654186662946,159.958854220561
28/06/2021,15:12:39,560,41.12,163.191229662104,159.697397373744,159.884226716907
28/06/2021,15:12:39,720,41.28,163.192624652805,159.712279227121,159.994491273994
28/06/2021,15:12:39,880,41.44,163.291783701834,159.782734026228,160.046593571341
28/06/2021,15:12:40,040,41.6,163.212096094486,159.777745622907,160.068647372012
28/06/2021,15:12:40,200,41.76,163.242316471272,159.750076032366,159.970132789864
28/06/2021,15:12:40,360,41.92,163.282454217499,159.7855607387,159.843608022526
28/06/2021,15:12:40,520,42.08,163.177454119352,159.700321306501,159.965305757838
28/06/2021,15:12:40,680,42.24,163.294865287129,159.892529296875,160.076324058684
28/06/2021,15:12:40,840,42.4,163.319802749097,159.763976266044,160.138069506513
28/06/2021,15:12:41,000,42.56,163.422721747777,159.918406895229,160.234821041688
28/06/2021,15:12:41,160,42.72,163.380085240656,159.875478515625,160.172103679733
28/06/2021,15:12:41,320,42.88,163.324797970566,159.872386561802,159.951626607124
28/06/2021,15:12:41,480,43.04,163.339563954416,159.70197605678,159.987093287588
28/06/2021,15:12:41,640,43.2,163.275538535573,159.727107543945,160.023355041908
28/06/2021,15:12:41,800,43.36,163.36551746771,159.932174508231,160.077063857325
28/06/2021,15:12:41,960,43.52,163.27938712422,159.759767630441,159.998687542037
28/06/2021,15:12:42,120,43.68,163.305978976302,159.91079964774,160.132037232254
28/06/2021,15:12:42,280,43.84,163.405783955176,159.942103184291,160.052500339533
28/06/2021,15:12:42,440,44,163.463482574003,159.963954467773,160.284609156729
28/06/2021,15:12:42,600,44.16,163.502399770459,160.065038277762,160.333339665899
28/06/2021,15:12:42,760,44.32,163.384212551404,159.885833827427,160.172978382237
28/06/2021,15:12:42,920,44.48,163.520037013682,159.878959089007,160.131999236858
28/06/2021,15:12:43,080,44.64,163.432165251305,159.849505092076,160.124977364445
28/06/2021,15:12:43,240,44.8,163.369997800894,159.89504612514,160.012165701152
28/06/2021,15:12:43,400,44.96,163.261195887273,159.831950422015,160.04506354932
28/06/2021,15:12:43,560,45.12,163.415481183996,159.868642054967,160.059451880044
28/06/2021,15:12:43,720,45.28,163.498617047641,159.95150844029,160.191610071043
28/06/2021,15:12:43,880,45.44,163.434815066544,159.992888009208,160.154538590387
28/06/2021,15:12:44,040,45.6,163.44098092084,159.99711164202,160.17869881131
28/06/2021,15:12:44,200,45.76,163.463330139467,159.856275285993,160.09250474134
28/06/2021,15:12:44,360,45.92,163.423489057838,159.868946794782,160.150597275488
28/06/2021,15:12:44,520,46.08,163.377676575627,159.888564365932,160.154957651303
28/06/2021,15:12:44,680,46.24,163.493880075426,159.954463152204,160.18906377325
28/06/2021,15:12:44,840,46.4,163.472681860229,160.067568184989,160.276375776885
28/06/2021,15:12:45,000,46.56,163.550260227529,159.99287815639,160.238016494852
28/06/2021,15:12:45,160,46.72,163.577366431155,160.029212472098,160.300250324982
28/06/2021,15:12:45,320,46.88,163.484630872257,159.883690970285,160.190497088906
28/06/2021,15:12:45,480,47.04,163.521154662473,159.977136230469,160.217842152577
28/06/2021,15:12:45,640,47.2,163.628256486289,159.891082240513,160.246479969151
28/06/2021,15:12:45,800,47.36,163.709796004559,160.133381609235,160.285709911624
28/06/2021,15:12:45,960,47.52,163.570197944066,160.188582850865,160.352478330499
28/06/2021,15:12:46,120,47.68,163.69053803257,160.060364990234,160.374077500097
28/06/2021,15:12:46,280,47.84,163.658256339068,159.97613167899,160.333388675917
28/06/2021,15:12:46,440,48,163.630127259834,160.090213623047,160.338398510257
28/06/2021,15:12:46,600,48.16,163.68575436386,160.07330418178,160.345237075098
28/06/2021,15:12:46,760,48.32,163.738793991319,160.065396030971,160.509636986335
28/06/2021,15:12:46,920,48.48,163.762931402005,160.19498273577,160.371285748008
28/06/2021,15:12:47,080,48.64,163.817605100085,160.252154628209,160.499429462761
28/06/2021,15:12:47,240,48.8,163.63575338239,160.00715070452,160.314609249696
28/06/2021,15:12:47,400,48.96,163.774169385134,160.155496041434,160.439033963033
28/06/2021,15:12:47,560,49.12,163.870463539009,160.32197265625,160.601316641498
28/06/2021,15:12:47,720,49.28,163.871663922641,160.375826764788,160.590232192286
28/06/2021,15:12:47,880,49.44,163.979391203454,160.315721958705,160.682931660027
28/06/2021,15:12:48,040,49.6,163.780092862383,160.347653111049,160.621526654982
28/06/2021,15:12:48,200,49.76,163.876476728736,160.233042689732,160.721846523664
28/06/2021,15:12:48,360,49.92,163.755773036324,160.207009626116,160.623422786889
28/06/2021,15:12:48,520,50.08,163.983891549422,160.182952357701,160.719228378195
28/06/2021,15:12:48,680,50.24,163.860986220777,160.359343436105,160.61956190905
28/06/2021,15:12:48,840,50.4,164.00023969334,160.389439784459,160.784421807093
28/06/2021,15:12:49,000,50.56,163.886786379407,160.410637032645,160.814887646808
